<https://www.youtube.com/user/tyleroakley>;rel="original"
, <http://web.archive.org/web/20140810194625/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 10 Aug 2014 15:46:25 GMT"
, <http://web.archive.org/web/20140810195003/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 10 Aug 2014 15:50:03 GMT"
, <http://web.archive.org/web/20140811195530/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 11 Aug 2014 15:55:30 GMT"
, <http://web.archive.org/web/20140811195533/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 11 Aug 2014 15:55:33 GMT"
, <http://web.archive.org/web/20140812050133/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 12 Aug 2014 01:01:33 GMT"
, <http://web.archive.org/web/20140812050137/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 12 Aug 2014 01:01:37 GMT"
, <http://wayback.archive-it.org/all/20140812170407/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 12 Aug 2014 13:04:07 GMT"
, <http://wayback.archive-it.org/all/20140812170414/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 12 Aug 2014 13:04:14 GMT"
, <http://web.archive.org/web/20140813130348/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 13 Aug 2014 09:03:48 GMT"
, <http://wayback.archive-it.org/all/20140813152546/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 13 Aug 2014 11:25:46 GMT"
, <http://wayback.archive-it.org/all/20140813161817/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 13 Aug 2014 12:18:17 GMT"
, <http://web.archive.org/web/20140814210454/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 14 Aug 2014 17:04:54 GMT"
, <http://web.archive.org/web/20140814210457/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 14 Aug 2014 17:04:57 GMT"
, <http://web.archive.org/web/20140814231728/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 14 Aug 2014 19:17:28 GMT"
, <http://web.archive.org/web/20140814231731/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 14 Aug 2014 19:17:31 GMT"
, <http://web.archive.org/web/20140815010858/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 14 Aug 2014 21:08:58 GMT"
, <http://web.archive.org/web/20140817195605/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 17 Aug 2014 15:56:05 GMT"
, <http://web.archive.org/web/20140817195608/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 17 Aug 2014 15:56:08 GMT"
, <http://wayback.archive-it.org/all/20140818104448/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 18 Aug 2014 06:44:48 GMT"
, <http://web.archive.org/web/20140818211547/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 18 Aug 2014 17:15:47 GMT"
, <http://web.archive.org/web/20140818211550/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 18 Aug 2014 17:15:50 GMT"
, <http://wayback.archive-it.org/all/20140819073952/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 19 Aug 2014 03:39:52 GMT"
, <http://wayback.archive-it.org/all/20140820213757/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 20 Aug 2014 17:37:57 GMT"
, <http://wayback.archive-it.org/all/20140820213801/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 20 Aug 2014 17:38:01 GMT"
, <http://web.archive.org/web/20140825000437/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 24 Aug 2014 20:04:37 GMT"
, <http://web.archive.org/web/20140825000440/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 24 Aug 2014 20:04:40 GMT"
, <http://web.archive.org/web/20140826101729/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 26 Aug 2014 06:17:29 GMT"
, <http://web.archive.org/web/20140826101731/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 26 Aug 2014 06:17:31 GMT"
, <http://wayback.archive-it.org/all/20140827022806/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 26 Aug 2014 22:28:06 GMT"
, <http://wayback.archive-it.org/all/20140827022814/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 26 Aug 2014 22:28:14 GMT"
, <http://web.archive.org/web/20140827165234/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 27 Aug 2014 12:52:34 GMT"
, <http://web.archive.org/web/20140827165237/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 27 Aug 2014 12:52:37 GMT"
, <http://wayback.archive-it.org/all/20140827223527/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 27 Aug 2014 18:35:27 GMT"
, <http://web.archive.org/web/20140828141208/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 28 Aug 2014 10:12:08 GMT"
, <http://web.archive.org/web/20140828141211/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 28 Aug 2014 10:12:11 GMT"
, <http://web.archive.org/web/20140829035203/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 28 Aug 2014 23:52:03 GMT"
, <http://web.archive.org/web/20140829035206/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 28 Aug 2014 23:52:06 GMT"
, <http://web.archive.org/web/20140831070100/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 31 Aug 2014 03:01:00 GMT"
, <http://web.archive.org/web/20140831070103/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 31 Aug 2014 03:01:03 GMT"
, <http://web.archive.org/web/20140831212440/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 31 Aug 2014 17:24:40 GMT"
, <http://web.archive.org/web/20140831213437/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 31 Aug 2014 17:34:37 GMT"
, <http://wayback.archive-it.org/all/20140902073027/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 02 Sep 2014 03:30:27 GMT"
, <http://web.archive.org/web/20140903123413/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 03 Sep 2014 08:34:13 GMT"
, <http://web.archive.org/web/20140903123440/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 03 Sep 2014 08:34:40 GMT"
, <http://web.archive.org/web/20140903233512/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 03 Sep 2014 19:35:12 GMT"
, <http://web.archive.org/web/20140905001240/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 04 Sep 2014 20:12:40 GMT"
, <http://web.archive.org/web/20140905001251/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 04 Sep 2014 20:12:51 GMT"
, <http://wayback.archive-it.org/all/20140905174916/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 05 Sep 2014 13:49:16 GMT"
, <http://wayback.archive-it.org/all/20140905174917/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 05 Sep 2014 13:49:17 GMT"
, <http://web.archive.org/web/20140906002536/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 05 Sep 2014 20:25:36 GMT"
, <http://web.archive.org/web/20140907210333/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 07 Sep 2014 17:03:33 GMT"
, <http://web.archive.org/web/20140907212150/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 07 Sep 2014 17:21:50 GMT"
, <http://web.archive.org/web/20140908025701/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 07 Sep 2014 22:57:01 GMT"
, <http://web.archive.org/web/20140908055023/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Sep 2014 01:50:23 GMT"
, <http://web.archive.org/web/20140909031952/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Sep 2014 23:19:52 GMT"
, <http://web.archive.org/web/20140909031956/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 08 Sep 2014 23:19:56 GMT"
, <http://wayback.archive-it.org/all/20140909112323/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 09 Sep 2014 07:23:23 GMT"
, <http://wayback.archive-it.org/all/20140910161755/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 10 Sep 2014 12:17:55 GMT"
, <http://wayback.archive-it.org/all/20140910183315/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 10 Sep 2014 14:33:15 GMT"
, <http://wayback.archive-it.org/all/20140912112213/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Sep 2014 07:22:13 GMT"
, <http://wayback.archive-it.org/all/20140912112302/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Sep 2014 07:23:02 GMT"
, <http://web.archive.org/web/20140914214740/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 14 Sep 2014 17:47:40 GMT"
, <http://web.archive.org/web/20140914222121/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 14 Sep 2014 18:21:21 GMT"
, <http://web.archive.org/web/20140915070300/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 15 Sep 2014 03:03:00 GMT"
, <http://web.archive.org/web/20140916161418/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 16 Sep 2014 12:14:18 GMT"
, <http://web.archive.org/web/20140916161419/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 16 Sep 2014 12:14:19 GMT"
, <http://web.archive.org/web/20140917123411/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Sep 2014 08:34:11 GMT"
, <http://web.archive.org/web/20140917203508/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Sep 2014 16:35:08 GMT"
, <http://wayback.archive-it.org/all/20140918040421/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 18 Sep 2014 00:04:21 GMT"
, <http://web.archive.org/web/20140919110739/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 19 Sep 2014 07:07:39 GMT"
, <http://wayback.archive-it.org/all/20140920030450/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 19 Sep 2014 23:04:50 GMT"
, <http://wayback.archive-it.org/all/20140920030631/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 19 Sep 2014 23:06:31 GMT"
, <http://web.archive.org/web/20140920223220/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Sep 2014 18:32:20 GMT"
, <http://web.archive.org/web/20140921011659/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Sep 2014 21:16:59 GMT"
, <http://web.archive.org/web/20140922005532/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 21 Sep 2014 20:55:32 GMT"
, <http://web.archive.org/web/20140922015726/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 21 Sep 2014 21:57:26 GMT"
, <http://web.archive.org/web/20140922061222/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 22 Sep 2014 02:12:22 GMT"
, <http://web.archive.org/web/20140922065256/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 22 Sep 2014 02:52:56 GMT"
, <http://web.archive.org/web/20140922135659/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 22 Sep 2014 09:56:59 GMT"
, <http://wayback.archive-it.org/all/20140923062924/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 02:29:24 GMT"
, <http://web.archive.org/web/20140923101956/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 06:19:56 GMT"
, <http://web.archive.org/web/20140923120800/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 08:08:00 GMT"
, <http://web.archive.org/web/20140923134816/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 09:48:16 GMT"
, <http://wayback.archive-it.org/all/20140923181725/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 14:17:25 GMT"
, <http://web.archive.org/web/20140923193657/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 15:36:57 GMT"
, <http://web.archive.org/web/20140923193658/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 15:36:58 GMT"
, <http://web.archive.org/web/20140923234415/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 19:44:15 GMT"
, <http://web.archive.org/web/20140924020126/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 23 Sep 2014 22:01:26 GMT"
, <http://web.archive.org/web/20140924041929/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 24 Sep 2014 00:19:29 GMT"
, <http://web.archive.org/web/20140924041930/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 24 Sep 2014 00:19:30 GMT"
, <http://web.archive.org/web/20140929002337/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 28 Sep 2014 20:23:37 GMT"
, <http://web.archive.org/web/20140929014715/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 28 Sep 2014 21:47:15 GMT"
, <http://wayback.archive-it.org/all/20140930044147/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 30 Sep 2014 00:41:47 GMT"
, <http://wayback.archive-it.org/all/20140930044733/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 30 Sep 2014 00:47:33 GMT"
, <http://web.archive.org/web/20141006000132/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 05 Oct 2014 20:01:32 GMT"
, <http://web.archive.org/web/20141006003747/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 05 Oct 2014 20:37:47 GMT"
, <http://web.archive.org/web/20141006090539/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 06 Oct 2014 05:05:39 GMT"
, <http://web.archive.org/web/20141008015334/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 07 Oct 2014 21:53:34 GMT"
, <http://web.archive.org/web/20141008142322/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 08 Oct 2014 10:23:22 GMT"
, <http://web.archive.org/web/20141013011648/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 12 Oct 2014 21:16:48 GMT"
, <http://web.archive.org/web/20141013012031/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 12 Oct 2014 21:20:31 GMT"
, <http://web.archive.org/web/20141014043058/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 14 Oct 2014 00:30:58 GMT"
, <http://wayback.archive-it.org/all/20141016150754/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 16 Oct 2014 11:07:54 GMT"
, <http://web.archive.org/web/20141020013250/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 19 Oct 2014 21:32:50 GMT"
, <http://web.archive.org/web/20141020015725/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 19 Oct 2014 21:57:25 GMT"
, <http://web.archive.org/web/20141023140307/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 23 Oct 2014 10:03:07 GMT"
, <http://web.archive.org/web/20141027021425/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 26 Oct 2014 22:14:25 GMT"
, <http://web.archive.org/web/20141027021824/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 26 Oct 2014 22:18:24 GMT"
, <http://web.archive.org/web/20141028055649/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 28 Oct 2014 01:56:49 GMT"
, <http://web.archive.org/web/20141111160710/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 11 Nov 2014 11:07:10 GMT"
, <http://web.archive.org/web/20141111173057/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 11 Nov 2014 12:30:57 GMT"
, <http://wayback.archive-it.org/all/20141114173009/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Nov 2014 12:30:09 GMT"
, <http://wayback.archive-it.org/all/20141114224715/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Nov 2014 17:47:15 GMT"
, <http://wayback.archive-it.org/all/20141115025212/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Nov 2014 21:52:12 GMT"
, <http://wayback.archive-it.org/all/20141115192607/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 15 Nov 2014 14:26:07 GMT"
, <http://wayback.archive-it.org/all/20141115223108/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 15 Nov 2014 17:31:08 GMT"
, <http://web.archive.org/web/20141118104902/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 18 Nov 2014 05:49:02 GMT"
, <http://wayback.archive-it.org/all/20141122201411/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 22 Nov 2014 15:14:11 GMT"
, <http://web.archive.org/web/20141125230311/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 25 Nov 2014 18:03:11 GMT"
, <http://wayback.archive-it.org/all/20141206013153/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 05 Dec 2014 20:31:53 GMT"
, <http://wayback.archive-it.org/all/20141206013156/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 05 Dec 2014 20:31:56 GMT"
, <http://web.archive.org/web/20141207173355/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 07 Dec 2014 12:33:55 GMT"
, <http://web.archive.org/web/20141209152206/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 09 Dec 2014 10:22:06 GMT"
, <http://web.archive.org/web/20141209152212/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 09 Dec 2014 10:22:12 GMT"
, <http://wayback.archive-it.org/all/20141210021925/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 09 Dec 2014 21:19:25 GMT"
, <http://wayback.archive-it.org/all/20141211110112/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 11 Dec 2014 06:01:12 GMT"
, <http://wayback.archive-it.org/all/20141211110129/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 11 Dec 2014 06:01:29 GMT"
, <http://wayback.archive-it.org/all/20141213004256/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Dec 2014 19:42:56 GMT"
, <http://wayback.archive-it.org/all/20141213004259/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Dec 2014 19:42:59 GMT"
, <http://wayback.archive-it.org/all/20141213044744/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Dec 2014 23:47:44 GMT"
, <http://wayback.archive-it.org/all/20141213044746/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 12 Dec 2014 23:47:46 GMT"
, <http://web.archive.org/web/20141213194811/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 13 Dec 2014 14:48:11 GMT"
, <http://web.archive.org/web/20141216045950/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 15 Dec 2014 23:59:50 GMT"
, <http://wayback.archive-it.org/all/20141216105441/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 16 Dec 2014 05:54:41 GMT"
, <http://wayback.archive-it.org/all/20141216105443/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 16 Dec 2014 05:54:43 GMT"
, <http://wayback.archive-it.org/all/20141217063924/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Dec 2014 01:39:24 GMT"
, <http://wayback.archive-it.org/all/20141217063926/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Dec 2014 01:39:26 GMT"
, <http://wayback.archive-it.org/all/20141217233815/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Dec 2014 18:38:15 GMT"
, <http://wayback.archive-it.org/all/20141217233817/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 17 Dec 2014 18:38:17 GMT"
, <http://wayback.archive-it.org/all/20141220083158/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Dec 2014 03:31:58 GMT"
, <http://wayback.archive-it.org/all/20141221010106/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 20 Dec 2014 20:01:06 GMT"
, <http://wayback.archive-it.org/all/20141223030622/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 22 Dec 2014 22:06:22 GMT"
, <http://wayback.archive-it.org/all/20141228182448/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 28 Dec 2014 13:24:48 GMT"
, <http://wayback.archive-it.org/all/20150105124055/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 05 Jan 2015 07:40:55 GMT"
, <http://web.archive.org/web/20150106080125/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 06 Jan 2015 03:01:25 GMT"
, <http://web.archive.org/web/20150106080129/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 06 Jan 2015 03:01:29 GMT"
, <http://wayback.archive-it.org/all/20150107191549/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 07 Jan 2015 14:15:49 GMT"
, <http://wayback.archive-it.org/all/20150110192833/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 10 Jan 2015 14:28:33 GMT"
, <http://wayback.archive-it.org/all/20150110192838/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 10 Jan 2015 14:28:38 GMT"
, <http://web.archive.org/web/20150111015155/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 10 Jan 2015 20:51:55 GMT"
, <http://web.archive.org/web/20150111015200/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 10 Jan 2015 20:52:00 GMT"
, <http://wayback.archive-it.org/all/20150111050220/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 11 Jan 2015 00:02:20 GMT"
, <http://wayback.archive-it.org/all/20150111095451/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 11 Jan 2015 04:54:51 GMT"
, <http://wayback.archive-it.org/all/20150112081609/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 12 Jan 2015 03:16:09 GMT"
, <http://wayback.archive-it.org/all/20150112081654/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 12 Jan 2015 03:16:54 GMT"
, <http://web.archive.org/web/20150113063130/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 13 Jan 2015 01:31:30 GMT"
, <http://wayback.archive-it.org/all/20150113103505/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 13 Jan 2015 05:35:05 GMT"
, <http://wayback.archive-it.org/all/20150113103506/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 13 Jan 2015 05:35:06 GMT"
, <http://web.archive.org/web/20150113125440/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 13 Jan 2015 07:54:40 GMT"
, <http://web.archive.org/web/20150113125447/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 13 Jan 2015 07:54:47 GMT"
, <http://wayback.archive-it.org/all/20150114204909/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 14 Jan 2015 15:49:09 GMT"
, <http://wayback.archive-it.org/all/20150114204910/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 14 Jan 2015 15:49:10 GMT"
, <http://web.archive.org/web/20150114224941/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 14 Jan 2015 17:49:41 GMT"
, <http://web.archive.org/web/20150114224942/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 14 Jan 2015 17:49:42 GMT"
, <http://web.archive.org/web/20150115061719/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 15 Jan 2015 01:17:19 GMT"
, <http://web.archive.org/web/20150115061720/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 15 Jan 2015 01:17:20 GMT"
, <http://web.archive.org/web/20150116220546/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 16 Jan 2015 17:05:46 GMT"
, <http://web.archive.org/web/20150116220547/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 16 Jan 2015 17:05:47 GMT"
, <http://wayback.archive-it.org/all/20150117002500/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 16 Jan 2015 19:25:00 GMT"
, <http://web.archive.org/web/20150120181648/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 20 Jan 2015 13:16:48 GMT"
, <http://wayback.archive-it.org/all/20150121094257/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 21 Jan 2015 04:42:57 GMT"
, <http://web.archive.org/web/20150127194657/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 27 Jan 2015 14:46:57 GMT"
, <http://web.archive.org/web/20150128075752/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 28 Jan 2015 02:57:52 GMT"
, <http://web.archive.org/web/20150128075754/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 28 Jan 2015 02:57:54 GMT"
, <http://wayback.archive-it.org/all/20150128183010/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 28 Jan 2015 13:30:10 GMT"
, <http://wayback.archive-it.org/all/20150128183018/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 28 Jan 2015 13:30:18 GMT"
, <http://web.archive.org/web/20150129133025/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 29 Jan 2015 08:30:25 GMT"
, <http://wayback.archive-it.org/all/20150130152953/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 30 Jan 2015 10:29:53 GMT"
, <http://wayback.archive-it.org/all/20150205025015/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 04 Feb 2015 21:50:15 GMT"
, <http://wayback.archive-it.org/all/20150205025017/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 04 Feb 2015 21:50:17 GMT"
, <http://web.archive.org/web/20150206134243/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 06 Feb 2015 08:42:43 GMT"
, <http://wayback.archive-it.org/all/20150212161932/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 12 Feb 2015 11:19:32 GMT"
