Blog	fit	songwriter	size	needed	saying	nature	crowd	bottom	following	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	worth	era	production	apparently	ended	tomorrow	food	evening	obviously	similar	although	camera	actual	meet	university	key	http	liked	beats	movies	jack	personal	father	fuck	colband	themselves	label	tour	zero	welcome	chart	hair	quickly	excellent	parker	figure	jazz	cast	solo	sonic	questions	nick	meaning	include	g	joe	april	twitter	theme	score	date	data	definitions	padding	twin	act	imagine	relationship	sex	clearly	edition	drum	co	cm	tstyle	cd	moments	kept	minor	hall	en	ep	recorded	genre	gt	download	click	ben	bed	anyway	loud	near	www	language	bowie	audience	field	deluxe	titled	throughout	create	understand	bill	y	excited	per	groove	material	buy	starting	several	apart	classic	melody	smith	fucking	brain	table	series	worked	previous	brought	son	support	voices	awesome	hop	johnny	spring	uk	meant	player	interview	created	inspired	rhythm	happen	british	national	floor	thoughts	rules	instrumental	history	issue	station	sounded	win	remains	stories	features	featured	subject	mouse	human	text	bass	shot	nearly	general	members	recording	fans	matt	limited	onto	hearing	plus	focus	christmas	copy	unfortunately	ideas	college	alt	v	expect	river	van	whether	beauty	result	asked	tune	slightly	films	certain	elements	producer	produced	etc	indie	building	tried	singing	mentioned	coast	overall	orphan	career	effect	pt	due	starts	bar	thank	main	collection	mention	bear	alive	metal	characters	cambria	longer	quick	sessions	stream	acts	review	lack	aren	hip	various	became	women	pure	lead	june	golden	singer	dave	shadow	role	choice	internet	ascii	november	followed	archive	entire	process	length	festival	web	l	electronic	amount	musical	rowband	msonormaltable	peel	non	vocals	america	verse	using	learned	cave	feels	culture	pictures	missing	popular	wave	michael	ryan	tunes	widow	parts	previously	likely	recordings	fantastic	amazing	interest	seven	somehow	journey	round	visit	drummer	among	images	sitting	facebook	source	absolutely	epic	planet	access	despite	saturday	level	featuring	mood	okay	friday	electric	musicians	question	folk	feat	difficult	straight	noshow	episode	possible	possibly	unique	began	team	industry	image	site	content	section	pick	action	archives	information	w	session	synth	funny	recent	link	lyrics	led	lee	doubt	sister	hansi	dr	decade	indeed	entirely	mostly	concert	media	moved	fully	robert	towards	underground	seeing	himself	acoustic	points	shit	digital	effort	reading	margin	totally	guys	drums	spend	giving	pagination	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	events	easily	included	september	added	pm	built	steve	particularly	january	guitarist	example	feature	desire	brilliant	bright	october	large	chicago	magic	wolf	system	listened	listener	ghost	total	south	brothers	certainly	presented	usually	truly	wonderful	damn	noise	perfectly	jeff	immediately	peter	orchestra	dog	changes	dreams	important	chris	compilation	f	february	mid	approach	games	gig	changed	continue	happened	gives	releases	missed	brother	latin	political	birthday	remix	july	piano	mike	present	whose	debut	boston	season	punk	pages	bandcamp	via	soundtrack	major	vocal	kill	society	eventually	forces	character	emotional	guitars	vinyl	begin	title	heaven	event	albums	performances	plays	control	quality	playlist	force	lights	definitely	theatre	normal	ray	parent	particular	youth	dad	dan	loved	lake	soft	venue	success	para	font	december	closer	simply
The Girl at the Rock Show	4	7	7	8	3	2	42	2	4	24	2	0	4	8	2	2	1	1	1	19	7	0	3	18	2	2	13	11	1	4	7	22	6	18	4	7	9	3	6	3	14	0	6	15	9	0	2	1	7	3	40	0	5	0	9	8	0	10	4	3	1	16	1	4	2	1	7	0	6	9	6	5	3	7	0	1	1	0	8	2	1	4	3	2	1	3	0	2	19	10	9	9	5	0	20	7	2	1	5	1	4	4	34	5	9	12	1	2	16	3	1	3	14	4	5	3	3	13	1	1	5	16	7	17	3	6	1	0	0	1	3	4	5	10	0	0	8	2	15	5	4	11	2	5	3	16	9	8	0	10	6	2	5	2	2	1	11	3	3	6	2	2	1	6	6	1	0	6	1	1	6	1	6	19	5	59	1	0	5	8	20	5	24	6	7	2	31	1	1	3	1	3	12	2	5	3	5	5	1	5	1	1	3	11	13	3	10	14	5	0	5	1	10	1	6	2	5	9	14	7	13	8	5	6	1	3	2	6	5	0	2	13	24	5	5	6	0	10	3	1	19	8	1	29	2	2	2	0	18	2	2	4	0	13	8	11	3	2	3	1	6	18	1	1	0	6	11	6	0	6	2	1	16	4	10	7	1	0	2	3	10	1	8	1	3	2	17	13	2	7	11	9	5	4	8	3	0	3	5	1	15	13	1	1	18	2	4	4	6	16	2	4	22	0	5	0	4	0	1	0	5	5	2	13	6	3	0	10	1	1	2	2	0	5	1	0	3	4	3	3	26	1	2	2	3	2	1	7	0	1	10	34	3	10	1	2	2	1	15	4	6	6	1	3	7	15	2	13	36	1	8	5	1	1	0	0	13	1	14	9	3	15	2	2	5	2	8	1	3	0	2	10	4	8	3	1	2	2	6	8	4	0	1	2	2	13	5	5	2	2	1	16	1	13	15	6	12	0	5	0	17	0	1	17	2	5	6	3	0	3	4	3	0	0	0	9	4	9	4	2	5	2	2	2	7	0	4	8	7	0	1	19	43	2	17	4	0	1	17	2	2	5	0	11	1	4	9	1	2	4	16	7	37	41	4	5	3	9	16	0	12	9	3	6	1	1	10	16	4	2	11	1	5	8	9	2	8	1	0	10
Rosie Gigg A2 Media Studies	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	2	2	0	1	0	0	0	1	10	7	3	0	1	0	0	0	14	1	0	0	2	0	0	0	3	4	0	0	0	8	1	0	0	0	0	0	0	1	0	3	0	1	3	1	1	0	2	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	1	0	9	0	1	0	0	0	0	0	0	0	0	0	16	2	0	0	0	5	1	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	2	0	9	0	0	0	0	0	0	1	3	0	2	1	1	2	2	10	0	0	0	0	0	0	1	0	1	0	0	1	0	0	4	1	2	0	40	0	1	1	0	0	2	0	1	4	0	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	1	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	1	0	2	0	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	1	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	3	0	0	3	1	1	8	0	1	0	0	0	0	2	0	0	0	0	0	1	14	1	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	1	2	1	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	2	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	10	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	2	0	7	0	0	0	0	0	0	0	0	1	0	3	5	0	3	0	0	1	3	0	0	2	1	0	0	1	0	2	0	0	0	0	3	0	0	1	0	1	1	0	0
Samtastic! Review	3	0	90	3	4	1	3	31	6	2	3	1	2	3	0	3	0	3	0	1	90	0	0	4	1	3	1	4	10	1	1	7	0	2	1	5	1	0	1	1496	0	0	2	5	2	2	7	30	1	2	53	0	0	0	2	0	0	3	0	0	0	5	0	0	1	3	1	4	6	14	88	96	0	1	6	30	30	37	1	1	1	8	1	9	2	9	0	60	3	1	2	89	14	33	13	7	1	12	4	0	1	0	14	2	1	1384	3	0	2	1	9	3	3	1	1	0	6	14	1	0	4	18	2	2	0	4	1	8	4	4	60	4	0	0	1	4	5	1	15	3	2	1	8	3	0	22	3	4	2	4	0	0	0	0	0	0	1	1	0	0	5	0	1	0	3	0	0	1	0	0	4	0	8	1	1	3	1	1	1	1	4	1	0	1	0	1	0	31	13	1	0	3	0	1	0	1	6	2	0	1	1	7	5	2	0	0	3	2	0	1	2	30	1	1	122	5	3	0	7	5	0	1	2	1	1	0	3	2	2	2	2	0	1293	3	0	4	1	0	2	2	5	13	0	5	0	35	0	0	7	60	2	0	0	3	2	2	16	0	10	0	3	1	30	30	3	1	7	2	0	3	0	0	11	0	6	0	0	2	16	4	1	30	1	1	0	1	10	26	3	0	1	0	0	2	0	0	0	1	27	0	1	5	0	0	0	2	3	2	0	0	28	4	1	1	0	14	0	1	30	11	4	2	1	0	0	0	0	2	1	0	0	2	1	1	6	1	0	10	1	5	6	1	4	0	1	60	0	0	0	0	3	10	1	2	3	2	3	1	3	4	3	1	2	0	0	1	118	19	5	2	1	4	30	2	1	0	2	8	3	3	5	565	18	5	2	2	13	1	0	1	1	0	5	1	2	11	1	0	1	9	0	11	2	126	0	2	0	2	2	0	0	2	1	0	2	5	4	1	1	14	0	0	0	1	0	1	2	1	0	5	6	0	0	0	0	2	0	14	1	0	4	0	60	0	11	6	11	1	5	4	0	9	3	6	4	2	1	2	0	3	1	0	1	1	0	0	1	0	5	0	2	0	6	6	5	1	0	2	30	1	2	3	8	62	4	30	1	0	0	0	5	4	0	5	0	118	238	5	0	1
The Listening Ear	10	4	4	11	12	8	3	2	4	4	9	4	7	15	8	20	0	2	1	16	0	4	24	17	8	5	13	14	10	9	4	18	11	0	18	17	4	0	3	0	37	10	12	13	6	28	3	0	26	0	10	4	4	0	5	14	9	4	10	8	5	24	9	4	22	7	4	1	9	17	2	7	5	6	11	0	0	1	25	20	8	11	4	5	3	4	0	0	9	9	25	3	2	0	0	0	4	2	0	1	8	4	53	1	10	1	4	33	3	15	0	0	8	7	7	13	1	2	1	4	31	5	31	9	17	9	4	8	4	4	2	40	16	2	23	13	7	11	0	4	19	25	2	14	9	2	6	8	5	12	21	11	6	3	3	5	39	6	2	10	79	7	25	3	3	8	5	17	2	10	22	5	18	0	7	10	3	1	2	7	11	4	26	6	6	15	10	0	10	21	6	12	14	7	6	1	4	2	103	6	4	0	4	25	0	4	17	24	6	2	5	0	20	8	3	4	14	3	1	14	7	9	2	17	10	13	0	9	9	3	0	10	1	9	29	1	5	20	14	7	5	9	7	9	6	1	6	7	8	0	3	9	1	1	7	2	1	1	7	1	9	16	0	0	1	3	9	11	0	10	3	36	15	8	4	17	4	8	4	1	4	2	13	0	38	3	17	3	9	1	21	2	20	1	3	15	3	4	6	7	6	4	2	1	6	1	12	5	3	12	97	4	12	5	4	2	7	14	0	4	14	7	4	11	60	6	7	2	6	3	26	11	1	5	0	1	0	20	12	3	20	20	52	13	5	0	2	8	15	3	42	5	4	12	2	17	0	11	22	24	2	6	3	0	3	19	2	6	25	3	6	10	0	4	4	9	3	1	0	7	11	0	8	10	5	0	5	7	0	13	4	25	3	3	4	1	9	10	0	8	5	5	2	0	8	35	0	10	11	29	25	36	0	22	3	9	8	17	4	0	10	10	1	6	12	12	17	8	2	3	4	14	2	28	3	18	17	25	9	3	15	22	0	36	4	0	7	5	9	6	7	0	16	18	49	1	0	2	1	10	2	11	3	14	11	10	7	23	1	3	1	4	8	1	13	10	16	3	0	26	1	9	0	7	5	0	13	10	2	1	15	3	14	0	5	0	0	5	15	1
FlowRadio Playlists (and Blog)	0	0	1	0	0	1	0	0	1	0	0	0	0	4	0	24	0	0	13	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	5	0	1	0	2	0	1	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	1	0	4	0	0	3	4	13	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	12	0	0	0	0	2	0	14	0	0	0	0	0	0	0	15	4	0	0	0	0	0	0	1	3	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	3	0	24	0	0	0	0	0	2	0	15	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	10	3	5	0	0	1	0	0	0	3	2	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	3	0	16	0	0	1	4	0	0	0	0	24	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	1	0	4	0	0	0	0	4	0	1	0	1	8	0	9	3	0	0	0	0	0	0	22	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	147	0	0	4	0	0	0	0	40	1	3	0	2	0	0	0	1	1	0	1	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	0	17	0	0	0	0	2	1	11	0	0	2	1	6	0	0	1	0	1	1	0	0	0	0	2	0	0	0	2	1	3	8	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	9	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	4	0	12	0	0	0	0	0	0	131	0	0	0	0	0	2	0	0	1	0	0	1	2	0	0	1	2	0	18	0	0
FOLK IS NOT HAPPY	0	3	0	0	0	4	0	0	5	0	0	0	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	9	0	0	0	1	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	2	0	4	3	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	2	0	0	1	3	0	0	0	1	0	4	1	0	0	0	0	2	0	2	1	3	0	0	0	1	0	0	3	0	1	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	6	2	0	1	1	0	0	1	3	0	0	0	2	0	0	1	0	1	0	0	1	0	10	0	0	0	1	4	1	0	0	0	1	0	2	0	0	0	1	0	2	0	0	7	1	0	4	0	0	1	0	0	1	3	1	1	0	0	0	1	17	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	2	1	1	4	4	3	0	0	0	0	0	0	0	0	2	1	1	0	0	1	2	0	3	0	0	0	0	9	1	0	0	0	2	4	1	0	0	0	0	1	2	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	1	0	0	0	0	4	3	1	29	0	2	1	0	0	0	1	2	4	0	0	0	1	0	1	0	0	0	0	0	2	0	0	3	0	5	1	1	1	0	0	0	0	0	1	1	2	1	2	0	0	3	3	1	0	8	0	1	0	2	1	0	0	0	9	0	1	0	0	3	0	0	5	0	0	1	0	0	0	1	0	0	2	0	3	5	3	0	4	5	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	2	1	1	1	1	0	0	0	2	0	2	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	5	3	2	2	2	0	1	0	0	1	0	0	0	2	0	0	0	0	3	0	5	0	1	4	1	0	8	0	0	0	0	0	2	2	1	0	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0	1	1
MAGGOT CAVIAR	1	2	1	0	0	5	9	2	29	1	0	2	0	0	4	1	2	39	0	2	0	22	2	1	17	5	5	5	4	1	7	0	4	17	0	3	3	4	2	0	1	2	0	4	1	10	1	0	6	49	19	1	2	3	5	3	18	0	1	4	2	12	8	0	5	0	6	3	3	11	0	7	3	19	0	0	0	0	8	3	0	1	1	20	7	5	0	0	53	0	1	5	6	1	54	107	4	0	8	1	1	3	3	1	0	0	5	0	29	1	14	6	1	3	0	9	8	1	0	5	21	9	3	41	14	12	1	9	0	5	1	13	2	13	4	5	8	0	0	4	2	8	34	0	14	7	5	4	3	0	6	9	3	1	0	2	3	4	6	7	1	4	2	7	10	2	0	3	1	24	1	3	1	16	53	25	0	21	9	6	16	1	14	12	0	1	3	1	0	4	1	1	4	0	0	1	4	2	1	1	0	0	5	5	19	0	2	2	1	2	0	0	20	2	2	13	2	10	0	5	6	2	1	1	2	1	0	1	6	140	3	2	0	4	2	8	6	16	4	0	14	24	2	13	1	0	0	6	5	0	7	9	6	2	4	11	8	1	3	1	0	10	0	0	313	8	15	2	1	3	0	2	1	5	0	20	5	5	5	2	3	0	6	18	6	26	3	4	9	20	3	6	1	3	8	7	3	13	18	4	0	0	1	2	18	11	2	10	1	0	1	4	9	2	5	0	2	1	0	0	2	29	5	7	0	8	0	9	0	2	0	9	2	11	6	258	0	0	14	4	6	1	0	12	3	0	2	20	4	4	4	12	1	4	6	3	12	8	1	3	9	0	1	6	1	6	0	0	0	13	2	5	0	0	17	8	10	23	7	5	4	0	14	0	0	25	9	6	9	3	8	3	10	6	0	13	1	4	0	15	12	4	7	0	0	4	3	1	14	3	7	4	8	6	5	2	0	3	3	0	0	4	1	6	1	0	0	2	23	0	6	20	4	1	27	2	11	2	1	21	3	1	0	2	9	3	10	0	0	11	11	76	0	1	15	1	2	11	2	4	9	1	1	15	1	1	2	3	36	1	7	6	1	41	3	1	1	25	1	2	0	1	1	1	3	1	5	7	2	5	1	0	0	10	10	0	0	11	5	5
INDIEohren.!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Spinitron Blog	0	0	1	0	1	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	1	0	0	0	8	0	8	0	0	0	0	0	0	0	362	0	0	0	0	2	0	0	0	0	2	1	0	0	7	5	2	0	0	0	0	2	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	6	0	0	1	0	0	2	0	5	6	1	1	1	0	1	3	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	4	0	3	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	2	6	0	2	0	5	0	0	1	2	6	0	0	0	0	0	0	0	0	1	0	0	0	8	0	3	0	1	0	1	0	0	2	0	0	78	9	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	3	7	0	0	0	0	0	0	7	0	0	120	0	1	2	0	0	6	0	0	0	0	0	0	0	1	0	2	0	4	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	4	0	0	0	3	0	0	0	11	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	1	0	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	1	0	0	0	0	0	0	0	3	0	0	2	5	0	1	1	0	0	0	1	0	0	9	0	0	1	0	0	1	0	10	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1
Desolation Row Records	2	0	0	1	1	2	0	0	1	0	2	9	0	1	0	13	0	8	0	4	1	1	0	0	4	2	0	0	12	1	5	0	0	0	2	0	1	0	0	0	0	2	0	2	3	7	7	0	0	1	1	1	0	0	3	0	0	4	1	19	1	1	5	0	6	0	0	2	4	8	0	0	2	0	0	0	0	13	0	1	0	4	0	15	0	10	0	0	17	0	0	1	5	0	4	3	0	0	0	0	4	0	3	2	0	0	1	19	0	3	14	0	0	0	0	6	0	0	0	3	1	0	2	0	0	1	2	28	3	1	0	6	0	0	0	5	0	15	1	2	5	2	0	0	0	0	0	1	2	0	1	28	9	0	0	0	2	2	0	0	0	0	0	1	0	0	19	5	0	0	2	0	0	0	0	1	1	3	0	1	6	2	6	3	1	0	10	1	21	0	4	23	1	5	0	0	1	0	0	1	0	1	0	5	1	1	0	1	1	9	0	0	2	0	0	0	1	3	3	1	5	0	30	1	1	0	0	3	2	3	0	0	0	0	0	0	1	0	0	5	1	9	11	1	3	6	0	0	1	0	7	0	1	0	1	0	2	0	6	1	1	0	0	0	1	5	0	4	1	0	2	14	8	0	0	0	3	6	6	6	1	0	0	1	1	3	0	0	14	4	0	0	1	0	0	0	0	0	0	0	0	2	3	7	0	11	0	0	0	0	15	17	1	0	3	0	0	4	0	0	0	0	0	0	1	1	6	0	1	2	1	0	1	0	18	1	3	0	3	0	0	5	13	0	2	0	1	0	0	0	1	3	0	0	1	1	0	25	0	0	2	0	6	1	0	1	0	0	0	0	0	0	0	0	40	0	1	3	1	4	10	0	1	0	0	0	7	0	1	4	1	0	2	0	0	0	5	1	8	7	1	3	4	3	3	0	0	4	6	3	6	2	0	0	1	2	1	7	1	3	0	1	7	1	0	4	4	0	1	6	5	0	0	0	0	0	0	0	0	10	0	2	1	0	3	0	5	0	3	16	0	1	5	3	32	0	0	0	10	5	0	10	2	0	0	0	1	2	196	1	0	8	8	2	1	4	4	1	0	0	5	1	1	0	2	0	0	20	0	0	2	0	3	0	0	0	0	5	0	0
Russian Machine Never Breaks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The World's First Internet Baby	14	32	0	10	14	7	5	2	26	2	3	1	2	21	2	12	0	35	14	3	2	14	2	15	53	27	22	22	0	1	1	17	17	66	1	6	10	3	27	0	7	4	4	10	23	9	19	0	33	35	18	1	8	15	11	9	31	1	10	36	1	46	36	3	6	1	9	1	16	5	0	8	1	8	0	0	0	5	13	7	6	24	17	5	10	9	0	0	10	17	6	9	7	1	42	90	9	0	0	0	1	0	11	19	33	1	4	48	23	4	0	16	20	5	9	5	1	0	2	6	69	3	17	34	24	79	11	30	6	4	0	11	3	59	16	4	1	0	1	34	29	3	20	12	12	2	8	27	16	3	51	8	3	1	5	20	37	6	10	18	0	28	0	13	15	15	0	4	0	40	11	45	25	22	86	20	0	1	13	5	18	11	1	10	18	4	17	6	1	4	3	5	19	2	24	4	23	17	1	13	15	13	19	2	37	9	4	28	10	9	5	0	49	9	0	14	23	10	5	8	17	35	3	2	28	3	0	13	13	22	2	10	3	11	7	31	7	41	2	28	46	6	4	48	8	2	8	5	1	0	8	23	0	28	7	32	7	1	23	18	11	36	0	0	2	18	30	50	8	9	9	3	12	21	5	5	25	41	3	0	24	0	12	18	12	29	14	8	3	13	4	2	8	0	22	37	1	5	0	1	69	15	8	0	34	6	20	10	6	1	2	27	23	7	54	3	13	21	0	1	6	18	50	46	2	9	8	0	4	10	5	6	0	1	9	13	6	14	3	2	64	18	16	39	15	0	3	44	53	51	13	8	4	10	33	7	22	56	9	45	15	6	12	3	10	4	0	10	12	18	2	12	0	0	87	35	3	48	0	59	6	0	17	1	17	13	4	5	3	8	14	34	12	27	22	5	4	11	7	5	16	1	3	6	2	1	5	6	8	3	14	70	1	6	42	1	7	32	12	9	35	14	3	7	13	5	32	8	16	4	7	48	9	3	8	11	23	18	13	5	1	2	1	22	5	1	4	15	4	7	30	118	5	3	233	1	0	4	13	24	23	17	5	30	1	16	4	12	20	11	72	12	1	165	21	10	9	27	0	16	3	20	1	1	12	2	29	30	5	1	9	4	12	2	30	0	0	11	27	45
